"year","violent-crime (100k, cy)","unemployment","health-spdg-gdp (cy)","nat-debt (bil)","crim-deportations","mexico-outflow","drone-strike","troops","prez"
"2000","506.5","4","13.3","33.60","","","","",""
"2001","504.5","4.7","14.0","31.40","71079","","","","bush"
"2002","494.4","5.8","14.8","32.60","71686","","1","5200","bush"
"2003","475.8","6","15.4","34.50","81626","","0","78100","bush"
"2004","463.2","5.5","15.4","35.50","89852","","1","145800","bush"
"2005","469","5.1","15.5","35.60","87476","6302000","3","162900","bush"
"2006","479.3","4.6","15.6","35.30","92263","6529000","2","161500","bush"
"2007","471.8","4.6","15.9","35.20","102024","6940000","5","172000","bush"
"2008","458.6","5.8","16.3","39.30","114415","6621000","38","187900","bush"
"2009","431.9","9.3","17.3","52.30","136343","6357000","54","186300","obama"
"2010","404.5","9.6","17.4","60.90","195772","6154000","128","151800","obama"
"2011","387.1","8.9","17.3","65.90","216698","6152000","87","106300","obama"
"2012","387.8","8.1","17.3","70.40","225390","5870000","89","67600","obama"
"2013","369.1","7.4","17.2","72.60","216810","5863000","50","63350","obama"
"2014","361.6","6.2","17.4","74.40","177960","5848000","45","41631","obama"
"2015","372.6","5.3","17.8","73.60","139368","","281","12790","obama"
"2016","","4.9","18.1","76.60","138669","","665","12559","obama"
